Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
BASE DE LOISIRS AU PLAN D'EAU DE CHANTENAY-VILLEDIEU;Aire d'arrêt Vélo##Aire de pique-nique##Base de loisirs##Base ou club nautique##Base VTT##Boulodrome##Jeux pour enfants##Lac et étang de pêche##Mini golf##Plage surveillée##Ponton##Tennis;;;Route du plan d'eau;;72430;CHANTENAY-VILLEDIEU;;72059;47.9162766;-0.1680246;Route (nationale/départ.)||rd Sablé-Le Mans, Chantenay-Noyen||0##Autoroute||Paris-Rennes, Paris-Nantes||10##Gare SNCF||Sablé sur Sarthe||17;;06 77 89 49 18;02 43 55 31 21;;basedepleinair@gmail.com;;Facebook||https://www.facebook.com/Mairie.Chantenay.Villedieu/;Bibliothèque##Espace jeux##Location/prêt de vélo##WiFi;Aire de pique nique##Bar##Défibrillateur##Prise électrique##Toilettes;oui;;;;oui;;;;;Anglais;;;;;;;;;;;;;;;;;non;07/07/2022||31/08/2022||Ouvert de 13h30 à 18h30 tous les jours sauf le mardi. ||Fermé le mardi||13:30||||18:30||||||||||||13:30||||18:30||||13:30||||18:30||||13:30||||18:30||||13:30||||18:30||||13:30||||18:30||;;;;"Tarif indiv. adulte||0,00||5,00||- Gratuit pour accéder à la base de loisirs,;- 5 €/heure pour location de canoë et VTT";oui;Chèques bancaires et postaux##Espèces;47.9162766,-0.1680246;Sarthe
"BIBLIOTHÈQUE ""LES BOUQUINS CHAMPÊTRES""";Bibliothèque-Médiathèque;;;Route de Nort/Erdre;;44390;CASSON;;44027;47.3870952;-1.5579118;;;;;;;;;Bibliothèque;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||15:30||17:30||||||||||||||||||10:30||12:00||||||10:30||12:00||||;;;;;non;Chèques bancaires et postaux;47.3870952,-1.5579118;Loire-Atlantique
CANOE-KAYAK;Activités sportives et ludiques;;;Quai Bliesransbach;;44240;SUCE-SUR-ERDRE;;44201;47.3389764;-1.5276731;;;06 15 67 18 62;;;contact@club-kayak-erdre.fr;http://www.club-kayak-erdre.fr/;Facebook||https://www.facebook.com/events/127119464142885/?ref=22;;;;;;;oui;Location de matériel;;Canoé kayak;;;;;;;;;;;;;;;;Sucé sur Erdre;Suce sur Erdre;SUCE SUR ERDRE;non;;;;;;non;Chèques bancaires et postaux##Chèques Vacances;47.3389764,-1.5276731;Loire-Atlantique
LOCATION DE BATEAUX HABITABLES - BRETAGNE FLUVIALE;Formules itinérantes;;;Quai Cricklade;;44240;SUCE-SUR-ERDRE;;44201;47.3395026;-1.5245109;Transport en commun||||1##Gare SNCF||Gare de Nantes||15##Autoroute||||10##Aéroport/aérodrome||Aéroport de Nantes||30##Halte fluviale||Halte de Sucé sur Erdre||0;;06 80 60 21 64;02 40 77 79 51;;bara.alain@bbox.fr;http://www.bretagne-fluviale.com;Facebook||https://fr-fr.facebook.com/pages/Bretagne-fluviale/287693977966767;;Toilettes;oui;voir sur place;Famille Plus;;oui;;;;;;;;;;;;Français;;;;;;;;;;oui;;BRETAGNE FLUVIALE||02 40 77 79 51||bara.alain@bbox.fr;;;;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.3395026,-1.5245109;Loire-Atlantique
LOCATION DE PEDALOS;Activités sportives et ludiques;;;;;72340;MARCON;;72183;47.710267;0.509982;;;06 88 05 84 32;02 43 44 13 07;;mairie@ville-marcon.fr;http://www.ville-marcon.fr;;;;;;;;oui;Location de matériel;;Pédalo;;Français;;;;;;;;;;;;;;Location de pédalos au lac des Varennes - Marçon;MARCON;MARCON;non;01/04/2022||31/05/2022||Voir centre Nautique||||||||||||||||||||||||||||||||||||||||||||||||14:00||18:30||||||14:00||##01/06/2022||31/08/2022||Voir centre nautique||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00##01/09/2022||30/09/2022||Voir centre nautique||||||||||||||||||||||||||||||||||||||||||||||||14:00||17:00||||||14:00||17:00;;;;"Tarif indiv. adulte||6,00||20,00||2 places : ;6€ la demie-heure, ;10€ l'heure;;4 places : ;12€ la demie-heure, ;20€ l'heure";non;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.710267,0.509982;Sarthe
"""OPERATION MINDFALL"" : ESCAPE GAME DANS LA VILLE";Activités sportives et ludiques;;;;;44210;PORNIC;;44131;47.11473;-2.09825;;;;07 67 89 63 02;;contact@turingescapegame.com;http://www.turingescapegame.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.11473,-2.09825;Loire-Atlantique
A L'ÉCOUTE DU GUÉZY;;;;121 avenue Saint Georges;;44500;LA BAULE-ESCOUBLAC;;44055;47.27158;-2.34461;;;06 60 83 68 21;06 23 76 87 04;;jean.maillet@bbox.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.27158,-2.34461;Loire-Atlantique
ACADÉMIE DE LOIRE;Activités culturelles;;;;Saint Vincent;49290;CHALONNES-SUR-LOIRE;;49063;47.3560275;-0.7757279;;;;02 41 78 06 14;;academiedeloire@orange.fr;http://www.academiedeloire.org;;;;;;;;;Cours;;;Peintures arts graphiques;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3560275,-0.7757279;Maine-et-Loire
AIR DE JEUX DU PLAN D'EAU DE LA CÔTE;Jeux pour enfants;;;Au port, près du plan d'eau de la Côte;;44360;CORDEMAIS;;44045;47.2867349;-1.8857521;;En extérieur ombragé##En extérieur soleil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2867349,-1.8857521;Loire-Atlantique
AIRE D'ARRÊT VÉLO DE GENNES-VAL DE LOIRE;Aire d'arrêt Vélo;;;impasse du Bord de l'eau;;49320;GENNES-VAL-DE-LOIRE;;49261;47.34293;-0.23109;;;;02 41 51 09 10;;gennes@ot-saumur.fr;https://www.ot-saumur.fr;;;Aire de pique nique##Prise électrique##Toilettes;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.34293,-0.23109;Maine-et-Loire
