Nom de l'offre touristique;Type d'offre;Type lieu de visite;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une vidéo;Widget tripadvisor;Equipements présents sur le site;Services proposés sur l'équipement de loisir;Point d'intérêt visible sans visite: oui / non;Thème du musée ou centre d'interprétation;Thème du musée ou centre d'interprétation;Type du parc ou jardin;Catégorie du parc ou jardin;Style architectural du parc ou jardin;Thème du parc et jardin;Catégorie du site ou monument;Style architectural du site ou monument;Thème du site et monument historique;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;Catégorie de la ville ou du village fleuri;Labels;Langues parlées à l'accueil;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Activité sur place;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des audio guides;Langues des panneaux d'information;Langues parlées;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif(s) de l'année en cours proposé(s);Mode(s) de paiement accepté(s);localisation;departement
LES PÊCHERIES;Site et monument historiques;Patrimoine culturel;;;Du Lancastria au Port du Collet;;44760;;LES MOUTIERS-EN-RETZ;;44106;47.062668;-2.002222;;;;;;lesmoutiersenretz@pornic.com;;;;;;;;;;Maritime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.062668,-2.002222;Loire-Atlantique
LE CROISIC, PETITE CITÉ DE CARACTÈRE;Site et monument historiques;Patrimoine culturel;;;;;44490;;LE CROISIC;;44049;47.29432;-2.51191;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;Petites cités de caractère;;;;;;;;;;;;;;;;;;;;;;;;;;;47.29432,-2.51191;Loire-Atlantique
LA BAULE, UN ART DE VIVRE;Site et monument historiques;Patrimoine culturel;;;;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28692;-2.39138;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28692,-2.39138;Loire-Atlantique
CHAPELLE NOTRE-DAME-DES-FONTAINES;Site et monument historiques;Patrimoine culturel;;;;;44119;;GRANDCHAMPS-DES-FONTAINES;;44066;47.3620875;-1.6108987;;;;;;;http://www.grandchampdesfontaines.fr;;;;;;;oui;;;;;;;;;Chapelle;;;;;;;;;;;;;non;non;oui;non;non;non;;;;oui;;oui;;;;;oui;;;47.3620875,-1.6108987;Loire-Atlantique
POINTE DE MERQUEL;Site et monument historiques;Patrimoine culturel;;;;;44420;;MESQUER;;44097;47.42189;-2.46739;;;;;;;;;;;;;;;;;;;;;;;Phare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.42189,-2.46739;
PARCOURS ESTUAIRE;Musée et centre d'interprétation;Patrimoine culturel;;;;;44000;;NANTES;;44109;47.218371;-1.553621;;;;;;;http://www.estuaire.info/;;;;;;;oui;;Art moderne / contemporain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.218371,-1.553621;Loire-Atlantique
DE L'ART DES ENSEIGNES;Site et monument historiques;Patrimoine culturel;;;;;44000;;NANTES;;44109;47.218371;-1.553621;;;;;;;http://www.levoyageanantes.fr/;;;;;;;oui;;;;;;;;Contemporain;Installation contemporaine;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.218371,-1.553621;Loire-Atlantique
MOULIN DE FOUCRE;Site et monument historiques;Patrimoine culturel;;;;;44130;;NOTRE-DAME-DES-LANDES;;44111;47.3839656;-1.7229489;;;;;;;;https://youtu.be/ShA89iiDPpc;;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ShA89iiDPpc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer;autoplay;clipboard-write;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;;;;;;;;;;;Moulin;;;;;;;;;;;;;;;oui;;;;;;Français;oui;;oui;;;;;oui;;;47.3839656,-1.7229489;Loire-Atlantique
PIRIAC-SUR-MER, LA CARTE POSTALE;Site et monument historiques;Patrimoine culturel;;;;;44420;;PIRIAC-SUR-MER;;44125;47.38001;-2.54472;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.38001,-2.54472;Loire-Atlantique
SAINT-LYPHARD, ENTRE CIEL ET MARAIS;Site et monument historiques;Patrimoine culturel;;;;;44410;;SAINT-LYPHARD;;44175;47.39712;-2.30984;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.39712,-2.30984;Loire-Atlantique
