nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
FERME DU HOUASLET;Fromage et produit laitier;;;;;72240;;CONLIE;;72089;48.1211017;-0.0183597;;;02 43 29 69 74;;anitathierry277@orange.fr;;;;;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;;;;non;||||De mars à octobre sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Corbillon||02 43 29 69 74||;;;;;;48.1211017,-0.0183597;Sarthe
FERME DU BUISSON - HUILE DE COLZA ET TOURNESOL;Huile;;;;;72600;;SAINT-REMY-DES-MONTS;;72316;48.3071807;0.40154789;;675399362;02 43 33 55 80;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3071807,0.40154789;Sarthe
LES DELICES DE BEAUREGARD;"Confiture;Produits cidricoles / Jus de fruit;Rillettes;Viande;Volailles / Oeufs";;;;Beauregard;72350;;BRULON;;72050;47.969777;-0.225656;;698823161;02 43 95 69 95;;;http://www.jardinbeauregard.com;;;"Facebook||https://www.facebook.com/lesdelicesdebeauregard;Instagram||https://www.instagram.com/lesdelicesdebeauregard/";;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;Français;;;;;;2 h;;oui;;;;oui;;;;;01/01/2022||31/12/2022||||||11:00||12:30||||||11:00||12:30||||||||||||||11:00||12:30||||||11:00||12:30||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.969777,-0.225656;Sarthe
SARL DE LA GUICHARDIÈRE - MARAICHER;Fruits / légumes;;;;La Guichardière;72390;;DOLLON;;72118;48.0543659;0.54649599;;682605193;;;marchedelaguichardiere@gmail.com;;;;;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.0543659,0.54649599;Sarthe
MIEL ET MERVEILLES... NATACHA BOULAY APICULTRICE;Produits apicoles;;;;La Holière;72110;;BONNETABLE;;72039;48.2034094;0.4295885;;638396971;;;natacha-boulay@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;Chèques bancaires et postaux;48.2034094,0.4295885;Sarthe
LA MENAGERIE;"Brioche et viennoiserie;Cosmétique;Elevage;Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Plantes et fleurs;Produits apicoles;Rillettes;Viande;Volailles / Oeufs";;;;La Ménagerie;72270;;MALICORNE-SUR-SARTHE;;72179;47.8124585;-0.0933691;;620528486;;;cedric.hamon3@gmail.com;;;;Facebook||https://www.facebook.com/sarlprevert;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Agriculture Biologique (AB);;;;;;;;;;;oui;;;;oui;;;;oui;Français;;;oui;01/01/2022||31/12/2022||Ouvert à la vente le vendredi de 16h30 à 19h00||||||||||||||||||||||||||||||||||||||||16:30||19:00||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.8124585,-0.0933691;Sarthe
COR VAN DEN HAM - JEAN-MARIE CHARRIER ET NICOLAS GASNOT - MARAICHER;Fruits / légumes;;;;Le Grillon;72110;;SAINT-CELERIN;;72271;48.107891;0.42162699;;638166273;02 43 29 44 03;;gaeclegrillon72@hotmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.107891,0.42162699;Sarthe
EPICERIE FINE  - MAISON REIGNIER;"Bières;Biscuit;Confiserie / chocolat;Confiture;Eau;Epices / Condiment;Escargot;Foie gras;Fromage et produit laitier;Fruits / légumes;Glace;Huile;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Vins";;;19 rue de Bolton;;72000;;LE MANS;;72181;48.0049431;0.1976527;;;02 43 24 02 15;;contact@maisonreignier.com;http://www.maisonreignier.com;;;;;Agro-alimentaire;"Qualité Tourisme;Welcome ! C’est beau ici !";;oui;;;;;Anglais;"Coteaux d'Ancenis;Coteaux du Loir;Gros Plant du Pays Nantais;Jasnières;Muscadet;Muscadet Coteaux de la Loire";;;;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";48.0049431,0.1976527;Sarthe
MARC UZAN - CÉRAMISTE;Poterie;;;2 rue du Lavoir;;72370;;ARDENAY-SUR-MERIZE;;72007;47.9948395;0.4251342;;;02 43 89 64 87;;uzan.marc@yahoo.fr;http://marcuzan.fr/;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;47.9948395,0.4251342;Sarthe
CHARCUTERIE COSME;Rillettes;;;88 Avenue Pierre Piffault;;72100;;LE MANS;;72181;47.95915;0.18613;;;02 43 85 75 15;;contact@charcuterie-cosme.com;https://www.charcuterie-cosme.com/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.95915,0.18613;Sarthe
