nom_fete_ou_manifestation;categorie;adresse1;adresse1suite;adresse2;adresse3;code_postal;commune;bureau_distributeur;cedex;code_insee;latitude;longitude;point_acces_distance;n_fixe;n_mobile;n_fax;email;url_web;type_url;url_video;public_concerne_offre;widget_tripadvisor;code_embed;periodicite_manifestation;precision_periodicite;label_tourisme_handicap;duree_visite_individuels;visites_libres_individuels_permanence;visites_guidees_individuels_sur_demande;visites_guidees_individuels_permanence;visites_guidees_groupes_sur_demande;visites_guidees_groupes_permanence;visites_guidees_groupes_permanence_2;duree_visite_groupes;visites_pedagogiques_groupes_permanence;langues;langues_audio;horaires_ouvertures;tarifs_annee_proposes;tarif_gratuit;moyens_reservation_directe;centrale_reservation_en_ligne;moyens_reservation_en_ligne;modes_paiement;localisation;departement
CONFeRENCE NATURE : LA BIODIVERSITe DANS LES JARDINS, COMMENT LA PROTeGER ?;Conference;;Abbaye Royale de _Epau;Route de Change;;72530;YVRE _EVEQUE;;;72181;47.9839581;0.2506153;Transport en commun||||,Route (nationale/depart.)||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/conferences;Facebook||https://fr_fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10_17 ans;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9839581,0.2506153;Sarthe
24 HEURES DE LA BILLE;Fetes populaires;Terrain de Loisirs;;;;72440;SAINT_MARS_DE_LOCQUENAY;;;72298;47.9231069;0.478968;;;06 82 28 06 27;;;;Facebook||https://www.facebook.com/comitedesfetes.sml;;;;;;;;;;;;;;;;;;;;;;;;;;47.9231069,0.478968;Sarthe
24 HEURES VELO ŠKODA;Manifestation sportive;;Circuit Bugatti;9, place Luigi Chinetti;;72000;LE MANS;;;72181;47.9558189;0.20964527;;02 43 21 13 24;;;;http://www.24heuresvelo.fr/;Facebook||https://www.facebook.com/pages/24_Heures_V%C3%A9lo_Le_Mans_Page_Officielle/238823786182659;;;;"http://www.24heuresvelo.fr/?videos=24_heures_velo_pearl_izumi_2017<span data_champcoderef="" "" id=""91aa2680_31ec_4342_9ac8_e0883d7f44d3"" type=""champSimple""><br /></span>";Annuel;;;;;;;;;;;;;;;;oui;;;;;47.9558189,0.20964527;Sarthe
82;Theatre;;Theatre de Chaoue;11 Rue du Moulin de Chaoue;;72700;ALLONNES;;;72003;47.97139;0.16571;;02 43 80 40 08;;;contact@theatredechaoue.fr;https://www.theatredechaoue.fr/la_programmation/mai/;;;;;;;;;;;;;;;;;;;;;;;;;;;47.97139,0.16571;Sarthe
[ANNULe] CONSTANCE;Spectacle;;_Oasis;1 Avenue du Parc des Expositions;;72100;LE MANS;;;72181;47.95973;0.20599;;;;;;;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.95973,0.20599;Sarthe
[REPORTe] MIRACULOUS _ LADYBUG, LE SPECTACLE MUSICAL;Spectacle;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;09 70 25 22 12;;;service_clients@myticket.fr;https://www.antareslemans.com/evenement/miraculous/;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||||||Tarifs (assis numerote) :;> Carre or : Public 49€ / CE 45€ / Enfant _12ans : 43€;> Categorie 1 : Public 43€ / CE 39€ / Enfant _12ans : 38€;> Categorie 2 : Public 32€ / Enfant _12ans : 25€;;Reservations CE et PMR : 02 43 84 67 00";non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
ACTIVITES POUR LES 8 ANS ET + A LA BASE DE LOISIRS FRED CHOUVIER _ JUILLET ET AOUT;Stages_Atelier_Jeux;;;;Plan _eau;72350;BRULON;;;72050;47.9610555;_0.2229773;;06 77 89 49 18;;;basedepleinair@gmail.com;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. enfant||||||Selon les activites;;;;;;47.9610555,_0.2229773;Sarthe
ALEX VIZOREK;Spectacle;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;oui;||https://www.lemans_evenements.fr/evenement/alex_vizorek_ad_vitam/||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
ATELIER CUISINE : UN CHEF a LA FERME ET LES LeGUMES _eTe!;Stages_Atelier_Jeux;Marche de La Guichardiere;;;;72390;DOLLON;;;72118;48.0531612;0.54721908;;02 43 60 76 89;;;;;;;;;;;Nombre de places limitees. Reservation conseillee.;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||||;;;;;Cheques bancaires et postaux,Especes;48.0531612,0.54721908;Sarthe
ATELIER ENFANTS : FABRIQUE TON FLIPBOOK;Stages_Atelier_Jeux;;Dans le Parc du Chateau;Place de Bassum;;72130;FRESNAY_SUR_SARTHE;;;72138;48.2817462;0.01807794;;02 43 33 28 04;;;contact@tourisme_alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;;;oui;;;;;48.2817462,0.01807794;Sarthe
AU PIED DU MUR, _ENCEINTE ROMAINE DU MANS;Exposition;;Musee JC_Boulard _ Carre Plantagenet;2 Rue Claude Blondeau;;72000;LE MANS;;;72181;48.00717;0.19862;;02 43 47 46 45;;;musees@lemans.fr;www.lemans.fr/musees;Facebook||https://www.facebook.com/museesdumans,Instagram||https://www.instagram.com/museesdumans/,Twitter||https://twitter.com/musees_lemans?lang=fr;;;;;Ponctuel;;;;oui;;;;oui;;;;Français;;;;oui;;;;;48.00717,0.19862;Sarthe
