NOM_DE_LA_FeTE_OU_MANIFESTATION;CATeGORIE_DE_LA_FeTE_OU_MANIFESTATION;ADRESSE1;ADRESSE1SUITE;Adresse_partie2;Adresse_partie3;CODE_POSTAL;COMMUNE_DE_LA_FÃŠTE_OU_MANIFESTATION;BUREAU_DISTRIBUTEUR_ADRESSE_POSTALE;CEDEX;CODE_INSEE_DE_LA_COMMUNE;LATITUDE;LONGITUDE;POINT_ACCÃˆS_NOM_DISTANCE_EN_KM;N_TeLePHONE_FIXE;N_TeLePHONE_MOBILE;N_FAX;ADRESSE_EMAIL;URL_WEB;TYPE_DE_PLATEFORME_URL;URL_POUR_ACCeDER_Ã€_LA_VIDeO;PUBLIC_CONCERNe_PAR_OFFRE;WIDGET_TRIPADVISOR;CODE_EMBED_POUR_INTeGRER_UNE_VIDeO;PeRIODICITe_DE_LA_MANIFESTATION;PReCISION_SUR_LA_PeRIODICITe;LABEL_TOURISME_HANDICAP;DUReE_DE_VISITE_POUR_LES_INDIVIDUELS;VISITES_LIBRES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON2;DUReE_DE_VISITE_POUR_LES_GROUPES;VISITES_PeDAGOGIQUES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;LANGUES_PARLeES;LANGUES_DES_AUDIO_GUIDES;HORAIRES_OUVERTURES;TARIFS_ANNeE_EN_COURS_PROPOSeS;TARIF_GRATUIT;MOYENS_DE_ReSERVATION_DIRECTE;CENTRALE_DE_ReSERVATION_EN_LIGNE;MOYENS_DE_ReSERVATION_EN_LIGNE;MODES_DE_PAIEMENT_ACCEPTeS;LOCALISATION;DEPARTEMENT
CONFÉRENCE NATURE : LA BIODIVERSITÉ DANS LES JARDINS, COMMENT LA PROTÉGER ?;Conférence;;Abbaye Royale de l'Epau;Route de Changé;;72530;YVRE L'EVEQUE;;;72181;47.9839581;0.2506153;Transport en commun||||,Route (nationale/départ.)||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/conferences;Facebook||https://fr-fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;10/11/2022||10/11/2022||19:00||20:30||||;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10-17 ans;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.9839581,0.2506153;Sarthe
24 HEURES DE LA BILLE;Fêtes populaires;Terrain de Loisirs;;;;72440;SAINT-MARS-DE-LOCQUENAY;;;72298;47.9231069;0.478968;;;06 82 28 06 27;;;;Facebook||https://www.facebook.com/comitedesfetes.sml;;;;;;;;;;;;;;;;;;;21/05/2022||22/05/2022||||17:00||||;;;;;;;47.9231069,0.478968;Sarthe
24 HEURES VELO ŠKODA;Manifestation sportive;;Circuit Bugatti;9, place Luigi Chinetti;;72000;LE MANS;;;72181;47.9558189;0.20964527;;02 43 21 13 24;;;;http://www.24heuresvelo.fr/;Facebook||https://www.facebook.com/pages/24-Heures-V%C3%A9lo-Le-Mans-Page-Officielle/238823786182659;;;;"http://www.24heuresvelo.fr/?videos=24-heures-velo-pearl-izumi-2017<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Annuel;;;;;;;;;;;;;;27/08/2022||28/08/2022||||||||;;oui;;;;;47.9558189,0.20964527;Sarthe
82;Théâtre;;Théâtre de Chaoué;11 Rue du Moulin de Chaoué;;72700;ALLONNES;;;72003;47.97139;0.16571;;02 43 80 40 08;;;contact@theatredechaoue.fr;https://www.theatredechaoue.fr/la-programmation/mai/;;;;;;;;;;;;;;;;;;;;19/05/2022||20/05/2022||20:30||21:40||||;;;;;;;47.97139,0.16571;Sarthe
[ANNULÉ] CONSTANCE;Spectacle;;L'Oasis;1 Avenue du Parc des Expositions;;72100;LE MANS;;;72181;47.95973;0.20599;;;;;;;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;09/12/2022||09/12/2022||20:30||||||;;non;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.95973,0.20599;Sarthe
[REPORTÉ] MIRACULOUS - LADYBUG, LE SPECTACLE MUSICAL;Spectacle;;Antarès;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 - Terminus Antarès/MMArena||0,1;09 70 25 22 12;;;service-clients@myticket.fr;https://www.antareslemans.com/evenement/miraculous/;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;27/10/2022||27/10/2022||14:00||16:00||Ouverture des portes à 12h30||,27/10/2022||27/10/2022||17:00||19:00||||;"Tarif indiv. adulte||||||Tarifs (assis numéroté) :;> Carré or : Public 49€ / CE 45€ / Enfant -12ans : 43€;> Catégorie 1 : Public 43€ / CE 39€ / Enfant -12ans : 38€;> Catégorie 2 : Public 32€ / Enfant -12ans : 25€;;Réservations CE et PMR : 02 43 84 67 00";non;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.956751,0.226448;Sarthe
ACTIVITES POUR LES 8 ANS ET + A LA BASE DE LOISIRS FRED CHOUVIER - JUILLET ET AOUT;Stages-Atelier-Jeux;;;;Plan d'eau;72350;BRULON;;;72050;47.9610555;-0.2229773;;06 77 89 49 18;;;basedepleinair@gmail.com;;;;;;;;;;;;;;;;;;;;;14/07/2022||20/07/2022||14:30||15:00||||;Tarif indiv. enfant||||||Selon les activités;;;;;;47.9610555,-0.2229773;Sarthe
ALEX VIZOREK;Spectacle;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;22/05/2022||22/05/2022||17:00||||||;;non;;oui;||https://www.lemans-evenements.fr/evenement/alex-vizorek-ad-vitam/||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
ATELIER CUISINE : UN CHEF À LA FERME ET LES LÉGUMES D'ÉTÉ!;Stages-Atelier-Jeux;Marché de La Guichardière;;;;72390;DOLLON;;;72118;48.0531612;0.54721908;;02 43 60 76 89;;;;;;;;;;;Nombre de places limitées. Réservation conseillée.;;;;;;;;;;;;;07/07/2022||07/07/2022||14:30||||||;Tarif indiv. adulte||15,00||||;;;;;Chèques bancaires et postaux,Espèces;48.0531612,0.54721908;Sarthe
ATELIER ENFANTS : FABRIQUE TON FLIPBOOK;Stages-Atelier-Jeux;;Dans le Parc du Château;Place de Bassum;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2817462;0.01807794;;02 43 33 28 04;;;contact@tourisme-alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;26/07/2022||26/07/2022||10:30||12:30||||;;oui;;;;;48.2817462,0.01807794;Sarthe
